30,,,,2,,,,33,,,,,33,,,,,33,,,,,33,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,60,60,,2,,,,2,,,,2,,61,,2,,60,60,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,60,2,,,
2,2,2,2,2,,,,2,,,,,2,,,,,2,,,,,2,2,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,,,,2,2,2,2,2,,,,2,2,2,2,2,2,,,,2,2,2,2,2,,,,,,,,,21,,,,,,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,21,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,61,2,,,,,
,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,61,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,61,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,2,,2,,,2,,,,,,
,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,21,,,2,,,,,,
,,,,,,,,,,,,,,2,2,,2,,2,,2,,,2,,,,,,,,,,,,,,,2,2,,2,,2,,2,,,2,,,,,,,,,,,,,,,2,2,,2,,2,,2,,,2,,,,,,,,,,,,,,,2,2,,2,,2,,2,,62,2,,,,,,,
,,,,,,,,,,,,,,2,,,,,,,,60,60,2,,,,,,,,,,,,,,,2,,,,,,,,61,61,2,,,,,,,,,,,,,,,2,,,,,,,,62,62,2,,,,,,,,,,,,,,,2,,,,,,,,,62,2,,,,,,,
,,20,,,,,,,,,,,,2,,,,,,,,60,60,2,,,33,33,,,33,33,,,33,33,,,2,,,,,,,,61,61,2,,,33,33,,,33,33,,,33,33,,,2,,,,,,,,62,62,2,,,33,33,,,33,33,,,33,33,,,2,,,,,,,,,62,2,,,,99,,,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,2,2,2,2,2,2,2,2,2,2
